t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi
t1,t11,t12,t13,0.2,0,0,0.4,0,0,0.4,0,0
t1,t11,t12,t15,0.0,0,0,0.2,0,0,0.8,0,0
t1,t11,t13,t15,0.0,0,0,0.2,0,0,0.8,0,0
t1,t12,t13,t15,0.2,0,0,0.2,0,0,0.6,0,0
t11,t12,t13,t15,0.4,0,0,0.4,0,0,0.2,0,0
t1,t11,t12,t16,0.0,0,0,0.2,0,0,0.8,0,0
t1,t11,t13,t16,0.4,0,0,0.0,0,0,0.6,0,0
t1,t12,t13,t16,0.4,0,0,0.0,0,0,0.6,0,0
t11,t12,t13,t16,0.6,0,0,0.2,0,0,0.2,0,0
t1,t11,t15,t16,0.2,0,0,0.4,0,0,0.4,0,0
t1,t12,t15,t16,0.4,0,0,0.2,0,0,0.4,0,0
t11,t12,t15,t16,0.8,0,0,0.0,0,0,0.2,0,0
t1,t13,t15,t16,0.2,0,0,0.6,0,0,0.2,0,0
t11,t13,t15,t16,0.6,0,0,0.4,0,0,0.0,0,0
t12,t13,t15,t16,0.6,0,0,0.4,0,0,0.0,0,0
t1,t11,t12,t17,0.0,0,0,0.0,0,0,1.0,0,0
t1,t11,t13,t17,0.2,0,0,0.0,0,0,0.8,0,0
t1,t12,t13,t17,0.2,0,0,0.0,0,0,0.8,0,0
t11,t12,t13,t17,0.4,0,0,0.4,0,0,0.2,0,0
t1,t11,t15,t17,0.4,0,0,0.0,0,0,0.6,0,0
t1,t12,t15,t17,0.4,0,0,0.0,0,0,0.6,0,0
t11,t12,t15,t17,0.8,0,0,0.2,0,0,0.0,0,0
t1,t13,t15,t17,0.4,0,0,0.2,0,0,0.4,0,0
t11,t13,t15,t17,0.8,0,0,0.2,0,0,0.0,0,0
t12,t13,t15,t17,0.6,0,0,0.2,0,0,0.2,0,0
t1,t11,t16,t17,0.4,0,0,0.0,0,0,0.6,0,0
t1,t12,t16,t17,0.4,0,0,0.0,0,0,0.6,0,0
t11,t12,t16,t17,0.8,0,0,0.2,0,0,0.0,0,0
t1,t13,t16,t17,0.2,0,0,0.0,0,0,0.8,0,0
t11,t13,t16,t17,0.6,0,0,0.0,0,0,0.4,0,0
t12,t13,t16,t17,0.6,0,0,0.0,0,0,0.4,0,0
t1,t15,t16,t17,0.2,0,0,0.4,0,0,0.4,0,0
t11,t15,t16,t17,0.4,0,0,0.6,0,0,0.0,0,0
t12,t15,t16,t17,0.4,0,0,0.4,0,0,0.2,0,0
t13,t15,t16,t17,0.2,0,0,0.8,0,0,0.0,0,0
t1,t11,t12,t18,0.2,0,0,0.4,0,0,0.4,0,0
t1,t11,t13,t18,0.4,0,0,0.4,0,0,0.2,0,0
t1,t12,t13,t18,0.4,0,0,0.4,0,0,0.2,0,0
t11,t12,t13,t18,0.6,0,0,0.2,0,0,0.2,0,0
t1,t11,t15,t18,0.2,0,0,0.8,0,0,0.0,0,0
t1,t12,t15,t18,0.4,0,0,0.6,0,0,0.0,0,0
t11,t12,t15,t18,0.4,0,0,0.2,0,0,0.4,0,0
t1,t13,t15,t18,0.4,0,0,0.6,0,0,0.0,0,0
t11,t13,t15,t18,0.2,0,0,0.4,0,0,0.4,0,0
t12,t13,t15,t18,0.2,0,0,0.4,0,0,0.4,0,0
t1,t11,t16,t18,0.2,0,0,0.8,0,0,0.0,0,0
t1,t12,t16,t18,0.4,0,0,0.6,0,0,0.0,0,0
t11,t12,t16,t18,0.4,0,0,0.2,0,0,0.4,0,0
t1,t13,t16,t18,0.2,0,0,0.4,0,0,0.4,0,0
t11,t13,t16,t18,0.2,0,0,0.4,0,0,0.4,0,0
t12,t13,t16,t18,0.2,0,0,0.2,0,0,0.6,0,0
t1,t15,t16,t18,0.4,0,0,0.6,0,0,0.0,0,0
t11,t15,t16,t18,0.0,0,0,0.2,0,0,0.8,0,0
t12,t15,t16,t18,0.2,0,0,0.2,0,0,0.6,0,0
t13,t15,t16,t18,0.0,0,0,0.6,0,0,0.4,0,0
t1,t11,t17,t18,0.2,0,0,0.8,0,0,0.0,0,0
t1,t12,t17,t18,0.2,0,0,0.8,0,0,0.0,0,0
t11,t12,t17,t18,0.4,0,0,0.2,0,0,0.4,0,0
t1,t13,t17,t18,0.2,0,0,0.6,0,0,0.2,0,0
t11,t13,t17,t18,0.2,0,0,0.4,0,0,0.4,0,0
t12,t13,t17,t18,0.2,0,0,0.4,0,0,0.4,0,0
t1,t15,t17,t18,0.0,0,0,0.6,0,0,0.4,0,0
t11,t15,t17,t18,0.0,0,0,0.0,0,0,1.0,0,0
t12,t15,t17,t18,0.0,0,0,0.2,0,0,0.8,0,0
t13,t15,t17,t18,0.0,0,0,0.2,0,0,0.8,0,0
t1,t16,t17,t18,0.2,0,0,0.6,0,0,0.2,0,0
t11,t16,t17,t18,0.2,0,0,0.0,0,0,0.8,0,0
t12,t16,t17,t18,0.2,0,0,0.2,0,0,0.6,0,0
t13,t16,t17,t18,0.6,0,0,0.0,0,0,0.4,0,0
t15,t16,t17,t18,0.0,0,0,0.6,0,0,0.4,0,0
t1,t11,t12,t19,0.2,0,0,0.2,0,0,0.6,0,0
t1,t11,t13,t19,0.0,0,0,0.2,0,0,0.8,0,0
t1,t12,t13,t19,0.2,0,0,0.4,0,0,0.4,0,0
t11,t12,t13,t19,0.4,0,0,0.4,0,0,0.2,0,0
t1,t11,t15,t19,0.2,0,0,0.8,0,0,0.0,0,0
t1,t12,t15,t19,0.2,0,0,0.8,0,0,0.0,0,0
t11,t12,t15,t19,0.8,0,0,0.2,0,0,0.0,0,0
t1,t13,t15,t19,0.4,0,0,0.6,0,0,0.0,0,0
t11,t13,t15,t19,0.8,0,0,0.0,0,0,0.2,0,0
t12,t13,t15,t19,0.6,0,0,0.0,0,0,0.4,0,0
t1,t11,t16,t19,0.0,0,0,0.8,0,0,0.2,0,0
t1,t12,t16,t19,0.2,0,0,0.8,0,0,0.0,0,0
t11,t12,t16,t19,0.6,0,0,0.4,0,0,0.0,0,0
t1,t13,t16,t19,0.0,0,0,0.6,0,0,0.4,0,0
t11,t13,t16,t19,0.6,0,0,0.0,0,0,0.4,0,0
t12,t13,t16,t19,0.4,0,0,0.0,0,0,0.6,0,0
t1,t15,t16,t19,0.2,0,0,0.6,0,0,0.2,0,0
t11,t15,t16,t19,0.0,0,0,0.2,0,0,0.8,0,0
t12,t15,t16,t19,0.0,0,0,0.2,0,0,0.8,0,0
t13,t15,t16,t19,0.0,0,0,0.4,0,0,0.6,0,0
t1,t11,t17,t19,0.0,0,0,1.0,0,0,0.0,0,0
t1,t12,t17,t19,0.0,0,0,1.0,0,0,0.0,0,0
t11,t12,t17,t19,0.6,0,0,0.2,0,0,0.2,0,0
t1,t13,t17,t19,0.0,0,0,0.8,0,0,0.2,0,0
t11,t13,t17,t19,0.8,0,0,0.0,0,0,0.2,0,0
t12,t13,t17,t19,0.4,0,0,0.2,0,0,0.4,0,0
t1,t15,t17,t19,0.0,0,0,0.6,0,0,0.4,0,0
t11,t15,t17,t19,0.0,0,0,0.2,0,0,0.8,0,0
t12,t15,t17,t19,0.0,0,0,0.2,0,0,0.8,0,0
t13,t15,t17,t19,0.0,0,0,0.4,0,0,0.6,0,0
t1,t16,t17,t19,0.0,0,0,0.6,0,0,0.4,0,0
t11,t16,t17,t19,0.2,0,0,0.0,0,0,0.8,0,0
t12,t16,t17,t19,0.0,0,0,0.2,0,0,0.8,0,0
t13,t16,t17,t19,0.4,0,0,0.0,0,0,0.6,0,0
t15,t16,t17,t19,0.0,0,0,0.4,0,0,0.6,0,0
t1,t11,t18,t19,0.0,0,0,0.2,0,0,0.8,0,0
t1,t12,t18,t19,0.2,0,0,0.4,0,0,0.4,0,0
t11,t12,t18,t19,0.4,0,0,0.4,0,0,0.2,0,0
t1,t13,t18,t19,0.2,0,0,0.2,0,0,0.6,0,0
t11,t13,t18,t19,0.2,0,0,0.4,0,0,0.4,0,0
t12,t13,t18,t19,0.2,0,0,0.4,0,0,0.4,0,0
t1,t15,t18,t19,0.6,0,0,0.2,0,0,0.2,0,0
t11,t15,t18,t19,0.0,0,0,0.8,0,0,0.2,0,0
t12,t15,t18,t19,0.0,0,0,0.6,0,0,0.4,0,0
t13,t15,t18,t19,0.2,0,0,0.6,0,0,0.2,0,0
t1,t16,t18,t19,0.6,0,0,0.0,0,0,0.4,0,0
